,control number,personal name,personal relationship
1085,9911244380101488,"Dioscorides, Pedanius.",aut
1086,9911248610101488,"Vesalius, Andreas",aut
1087,9911249050101488,Avicenna,aut
1088,9911341270101488,"Gazet, Guillaume",aut
1089,9911738370101488,"Lipsius, Justus",aut
1090,9911755220101488,"Titelmannus, Franciscus",aut
1091,9911755480101488,"Titelmannus, Franciscus",aut
1092,9911756410101488,"Titelmannus, Franciscus",aut
1093,9911762870101488,"Mulert, Gérard",dte
1094,9911768870101488,"Clenardus, Nicolaus",aut
1095,9911769080101488,"Clenardus, Nicolaus",aut
1096,9911793110101488,"Lipsius, Justus",aut
1097,9911800260101488,"Barlandus, Adrianus",ctb
1098,9911865340101488,Carolus a Tilia,eul
1099,9911910320101488,Luís de Granada,aut
1100,9912125230101488,"Sterck van Ringelberg, Joachim Fortius",aut
1101,9912125250101488,"de Baïf, Lazare",aut
1102,9912185740101488,"Torrentinus, Hermannus",aut
1103,9912186430101488,"Erasmus Roterodamus, Desiderius",aut
1104,9912233500101488,Franciscus,oth
1105,9912244960101488,"Busbequius, Augerius Gislenius",dte
1106,9912335880101488,"Titelmannus, Franciscus",aut
2,9992133457501488,"Palaemon, Quintus Rhemnius Fannius",aut
7,9992139606001488,Censorinus,aut
8,9992141290101488,Pythagoras,aut
9,9992141290201488,Cebes Thebanus,aut
10,9992141304001488,"Du Tilet, Jean",edt
11,9992141470301488,"Boucher, Jean",aut
23,9992154109701488,"Seneca, Lucius Annaeus",aut
25,9992169195201488,Henry,dte
26,9992173406801488,"Galenus, Matthaeus",aow
32,9992179098501488,Clemens,aut
36,9992182506901488,"Panigarola, Francesco",aut
38,9992183204501488,"Flaschius, Sebastianus",aut
39,9992185397301488,"Chrestien, Florent",trl
40,9992185398201488,"Le Prevost, Augustin",adp
46,9992189104701488,"Propertius, Sextus",aut
48,9992193410101488,"Cicero, Marcus Tullius",aut
49,9992195185801488,Homerus.,aut
50,9992202556701488,"Nepos, Cornelius.",aut
58,9992221133801488,"Erasmus Roterodamus, Desiderius",aow
60,9992221134201488,"Calvin, Jean",add
62,9992221134501488,Theodorus Studita,aut
63,9992221134801488,"Calvin, Jean",add
74,9992221166601488,"de Launoy, Matthieu",aut
75,9992221166701488,"Pennetier, Henri",aut
79,9992224395801488,"Ficino, Marsilio",aut
87,9992225682001488,"Benoist, René",aut
92,9992225708801488,"Winter, Johann",trl
98,9992229880001488,"Patrizi, Francesco",aut
100,9912560920101488,Eusebius Caesariensis,aut
103,9912956300101488,"Pennetier, Henri",aut
105,9912986670101488,"Epo, Boetius",aut
106,9913059800101488,"Reynerius, Godefridus",aut
111,9913155500101488,"Erasmus Roterodamus, Desiderius",edt
112,9913198590101488,"Tacitus, Publius Cornelius",aut
114,9913312620101488,Marcus Exercitor,aut
115,9913391030101488,Ferdinand,dte
117,9913879820101488,"Fuscus, Cornelius",aut
118,9914033070101488,"Titelmannus, Franciscus",aut
119,9914047510101488,"Périon, Joachim",trl
122,9914181700101488,"Erasmus Roterodamus, Desiderius",trl
123,9914749000101488,"Toletus, Franciscus",aut
124,9914866810101488,"Titelmannus, Franciscus",aut
127,9915101310101488,"Gemma Frisius, Reinerus",trl
128,9915208790101488,"de Le Cambe, Arnoldus",pub
130,9915822140101488,"Louveau, Jean",trl
131,9916067400101488,"Alberti, Leon Battista",aut
132,9916093520101488,"du Prat, Antonius",dte
133,9916132840101488,"Augustinus, Aurelius",aut
134,9916133090101488,"de Fonseca, Alfonso",dte
143,9916425270101488,"Vives, Juan Luis",aut
145,9916492720101488,Ferdinand,dte
146,9916504170101488,"Vives, Juan Luis",aut
148,9916735800101488,"Stimmer, Tobias",egr
149,9916824140101488,Gregorius Nyssenus.,aut
151,9916928400101488,"de la Motte, Pierre",ctb
156,9917899730101488,Martialis Lemovicensis,aut
157,9917978870101488,"Auger, Émond",aut
158,9918004690101488,"Doard, Nicolas",edt
160,9918063940101488,"Périon, Joachim",trl
161,9918065230101488,"Périon, Joachim",trl
162,9918065360101488,"Périon, Joachim",trl
164,9918112670101488,"de Croix, Antonius",dte
166,9918414610101488,"de Villamont, Jacques",trl
167,9918453390101488,Joannes a Sancto Andrea,aut
168,9918453410101488,Joannes a Sancto Andrea,dte
169,9918453720101488,"de Gondi, Pierre",dte
170,9918472720101488,Joannes a Sancto Andrea,aut
171,9918696860101488,Viglius Zuichemus ab Aytta,dte
172,9918904550101488,"Buonamici, Lazzaro",aut
174,9919054360101488,"Lancelotti, Giovanni Paolo",edt
175,9919144900101488,"Fabricius Boderianus, Guido",edt
176,9919254770101488,"Faber, Jacobus",edt
177,9919258280101488,"Auger, Émond",ctb
178,9919278340101488,"Douaren, François",aut
179,9919278540101488,"Hotman, François",aut
181,9919347960101488,"Gelenius, Sigismundus",trl
183,9919384010101488,Homerus.,aut
184,9919386480101488,"Gozthon, Joannes",oth
185,9919387210101488,"de Sainctes, Claude",aut
186,9919406680101488,"Cochlaeus, Joannes",aut
188,9919424020101488,"Contius, Antonius",edt
189,9919432760101488,"Cyprianus, Thascius Caecilius",aut
190,9919435050101488,"Alvarez de Toledo, Ferdinand",oth
191,9919445760101488,"Chappuys, Gabriel",trl
192,9919470760101488,"Titelmannus, Franciscus",aut
193,9919513150101488,Theodorus Raithenus.,aut
195,9919639070101488,"Fisher, Joannes",aut
197,9919668830101488,Paul,oth
198,9919710260101488,"de Flisco, Nicolaus",dte
200,9935345230101488,"Broustin, Etienne.",trl
201,9935345840101488,"Toletus, Franciscus",aut
202,9935346840101488,"Caladelphus, Jacobus",eul
204,9935350380101488,"de Boufflers, Jean.",eul
205,9935353490101488,"de Guise, Charles",dte
206,9935355560101488,"Gillot, Jean",trl
208,9935357280101488,"de Gondi, Pierre",dte
210,9935361700101488,"Veldius, Jacobus",coi
212,9935383540101488,"Crucius, Levinus",eul
213,9935389600101488,"Helm, Heinrich",aut
214,9935390190101488,"Lorich, Gerhard",trl
215,9935393210101488,"Lorich, Gerhard",edt
216,9935398840101488,"de Guellis, Germain Vaillant",eul
217,9935400880101488,"Benoist, René",aut
218,9935401600101488,"Guilliaud, Maximilien",ctb
219,9935403380101488,"Doc, Jean",aut
220,9935411400101488,Nicolaus,aut
222,9935419370101488,"Gerson, Jean",dub
223,9935420070101488,Joannes Tauler,aut
225,9935424990101488,"du Bouchet, Françoise",dte
227,9935426870101488,"de Belleforest, François.",trl
228,9935438270101488,"Colin, Nicolas",trl
230,9935441820101488,"Borromaeus, Carolus",dte
231,9935460440101488,"Bosquier, Philippe",aut
232,9935468350101488,"Télin, Anthoine",dte
233,9935470780101488,"Marabotto, Cattaneo",aut
234,9935480850101488,"de l'Aubespine, Sébastien",dte
235,9935919540101488,"Royard, Jean",dub
236,9936954320101488,"Meurer, Noe",clb
237,9936961940101488,"de Brézé, Louis",dte
238,9936967680101488,Angelus de Gambilionibus,aut
239,9936983710101488,"Gàmbara, Gianfrancesco",dte
240,9936984180101488,"Gaetani, Henricus",dte
242,9936994330101488,"Bertrandus, Joannes",dte
243,9937004740101488,"Romano, Giulio Cesare",aut
244,9937023640101488,Gregory,dte
245,9937030930101488,"Pereyra, Bento",aut
246,9937057010101488,"Hervetus, Gentianus",trl
247,9937059020101488,Paul,udr
248,9937059670101488,"Fiordibello, Antonio",ctb
249,9937060230101488,"Gaussart Flamignon, Guy",edt
250,9937068090101488,"Du Moulin, Charles",aut
251,9937084010101488,"Vergerio, Pietro Paolo",edt
252,9937099960101488,"Guymier, Cosme",ann
