Column,control number,personal name,personal name 1,personal name 2,personal name 3,personal relationship
239,9936983710101488,"Menochius, Jacobus",Menochius, Jacobus,,eul
240,9936984180101488,"Menochius, Jacobus",Menochius, Jacobus,,eul
275,9937383770101488,"Guicciardini, Francesco",Guicciardini, Francesco,,aut
278,9937433800101488,"d'Escars de Givry, Anne",d'Escars de Givry, Anne,,dte
280,9937435970101488,"Gollut, Louis",Gollut, Louis,,aut
284,9937453700101488,"Biset de Charlais, Edouard",Biset de Charlais, Edouard,,eul
295,9939420260101488,"Wesenbeck, Matthaeus",Wesenbeck, Matthaeus,,ann
296,9939421270101488,"Faber, Jacobus",Faber, Jacobus,,dte
310,9939489870101488,"Sinapius, Joannes",Sinapius, Joannes,,eul
315,9939692170101488,"Plautus, Titus Maccius.",Plautus, Titus Maccius.,,aut
317,9939731250101488,Ulpianus Rhetor,Ulpianus Rhetor,,,aut
320,9940104540101488,"Miraeus, Ludovicus",Miraeus, Ludovicus,,ctb
336,9970179020101488,"von Thüngen, Konrad",von Thüngen, Konrad,,dte
340,9974381610101488,"de Bazers, Jos.",de Bazers, Jos.,,eul
342,9974396890101488,"Robin, Paschal",Robin, Paschal,,com
364,9977139310101488,"Symon, Nicolas",Symon, Nicolas,,eul
377,9977376180101488,"Gulonius, Nicolaus",Gulonius, Nicolaus,,eul
429,9932495240101488,"Turnebus, Adrianus",Turnebus, Adrianus,,edt
435,9932505580101488,"Duchesne, Léger",Duchesne, Léger,,ann
436,9932512660101488,Emporius Rhetor,Emporius Rhetor,,,aut
438,9932516510101488,"Rulmanus, Annas",Rulmanus, Annas,,eul
449,9932542820101488,"White, Thomas",White, Thomas,,ctb
475,9935205230101488,"Machiavelli, Niccolò",Machiavelli, Niccolò,,pub
640,9988210630101488,"Simoneta, Ludovicus",Simoneta, Ludovicus,,dte
687,9990920300101488,Proclus Diadochus,Proclus Diadochus,,,aut
714,9921530810101488,"Karnkowski, Stanislaus",Karnkowski, Stanislaus,,ctb
740,9924541000101488,"Petri, Suffridus",Petri, Suffridus,,oth
744,9924932210101488,"Vives, Juan Luis",Vives, Juan Luis,,edt
